PUNTO_INFORMATIVO;POSSIBILI_SUCCESSIVI
0-0-0;0-0-0
1-3-761;2-3-760
1-3-762;2-3-760,2-3-761
1-3-763;2-3-760
1-3-764;FINE_SERIE
1-3-765;FINE_SERIE
1-3-766;FINE_SERIE
1-3-769;1-3-765,1-3-764,1-3-766,1-3-759,1-3-760
1-3-770;1-3-769
1-3-771;2-3-771
1-3-772;1-3-781,1-3-783
1-3-774;2-3-773
1-3-775;2-3-773
1-3-781;2-3-774
1-3-783;2-3-774
1-3-784;1-3-774,1-3-775
1-3-785;1-3-784
1-3-786;1-3-787
1-3-787;2-3-788,3-1-301
1-3-792;2-3-786
2-3-760;2-3-762
2-3-761;FINE_SERIE
2-3-762;1-3-771
2-3-771;1-3-772
2-3-772;1-3-770
2-3-773;2-3-772
2-3-774;2-3-775
2-3-775;1-3-786,2-5-681,4-5-681
2-3-776;1-3-785
2-3-786;2-3-776
2-3-788;3-1-301
2-5-681;3-1-196,1-3-786
3-1-1;3-1-8
3-1-10;3-1-4
3-1-102;3-1-97
3-1-103;3-1-104
3-1-104;3-1-110,3-1-111
3-1-105;3-1-102
3-1-106;3-1-102
3-1-11;3-1-4
3-1-110;3-1-114
3-1-111;3-1-114
3-1-112;3-1-105,3-1-106
3-1-113;3-1-112
3-1-114;3-1-116
3-1-115;3-1-113
3-1-116;3-1-121
3-1-117;3-1-115
3-1-12;3-1-4
3-1-121;3-1-122
3-1-122;3-1-128,3-1-129
3-1-123;3-1-117
3-1-124;3-1-117
3-1-128;3-1-132
3-1-129;3-1-132
3-1-13;3-1-4
3-1-130;3-1-123,3-1-124
3-1-131;3-1-130
3-1-132;3-1-137
3-1-133;3-1-131
3-1-137;3-1-139
3-1-138;3-1-133
3-1-139;3-1-140
3-1-14;3-1-4
3-1-140;3-1-144,3-1-145,3-1-146,3-1-152
3-1-141;3-1-138
3-1-142;3-1-138
3-1-143;3-1-138
3-1-144;3-1-157,3-1-178
3-1-145;3-1-157,3-1-178
3-1-146;3-1-157,3-1-178
3-1-147;3-1-138
3-1-148;3-1-141,3-1-142,3-1-143,3-1-147
3-1-149;3-1-148
3-1-15;3-1-4
3-1-150;3-1-151
3-1-151;3-1-141,3-1-142,3-1-143,3-1-147
3-1-152;3-1-157,3-1-178
3-1-157;3-1-159
3-1-158;3-1-149
3-1-159;3-1-164
3-1-163;3-1-158
3-1-164;3-1-166
3-1-165;3-1-163
3-1-166;3-1-167
3-1-167;3-1-173,3-1-174
3-1-168;3-1-165
