NID_MACROAREA;NID_AREA;NID_PI;FREQUENZA_PI;DIREZIONE_PI
1;3;761;F1;PI_REVERSE
1;3;762;F1;PI_REVERSE
1;3;763;F1;PI_REVERSE
1;3;764;F1;PI_NORMAL
1;3;765;F1;PI_NORMAL
1;3;766;F1;PI_NORMAL
1;3;769;F1;PI_NORMAL
1;3;770;F1;PI_NORMAL
1;3;771;F1;PI_REVERSE
1;3;772;F1;PI_REVERSE
1;3;774;F1;PI_NORMAL
1;3;775;F1;PI_NORMAL
1;3;781;F1;PI_REVERSE
1;3;783;F1;PI_REVERSE
1;3;784;F1;PI_NORMAL
1;3;785;F1;PI_NORMAL
1;3;786;F1;PI_REVERSE
1;3;787;F1;PI_REVERSE
1;3;792;F1;PI_NORMAL
2;3;760;F2;PI_REVERSE
2;3;761;F1;PI_REVERSE
2;3;762;F1;PI_REVERSE
2;3;771;F1;PI_REVERSE
2;3;772;F1;PI_NORMAL
2;3;773;F2;PI_NORMAL
2;3;774;F1;PI_REVERSE
2;3;775;F1;PI_REVERSE
2;3;776;F1;PI_NORMAL
2;3;786;F1;PI_NORMAL
2;3;788;F1;PI_REVERSE
2;5;681;F1;PI_REVERSE
3;1;1;F1;PI_NORMAL
3;1;2;F2;PI_NORMAL
3;1;3;F1;PI_REVERSE
3;1;4;F1;PI_REVERSE
3;1;8;F1;PI_NORMAL
3;1;9;F1;PI_NORMAL
3;1;10;F1;PI_REVERSE
3;1;11;F1;PI_REVERSE
3;1;12;F1;PI_REVERSE
3;1;13;F1;PI_REVERSE
3;1;14;F1;PI_REVERSE
3;1;15;F2;PI_REVERSE
3;1;20;F1;PI_NORMAL
3;1;21;F1;PI_NORMAL
3;1;22;F2;PI_NORMAL
3;1;23;F1;PI_NORMAL
3;1;24;F1;PI_NORMAL
3;1;25;F2;PI_NORMAL
3;1;27;F1;PI_REVERSE
3;1;28;F1;PI_NORMAL
3;1;29;F1;PI_REVERSE
3;1;30;F1;PI_REVERSE
3;1;32;F1;PI_NORMAL
3;1;36;F1;PI_REVERSE
3;1;37;F2;PI_NORMAL
3;1;38;F1;PI_NORMAL
3;1;39;F1;PI_REVERSE
3;1;44;F2;PI_NORMAL
3;1;46;F1;PI_REVERSE
3;1;47;F1;PI_REVERSE
3;1;48;F1;PI_NORMAL
3;1;51;F1;PI_REVERSE
3;1;52;F1;PI_REVERSE
3;1;53;F1;PI_NORMAL
3;1;55;F1;PI_NORMAL
3;1;56;F1;PI_NORMAL
3;1;57;F1;PI_NORMAL
3;1;58;F1;PI_REVERSE
3;1;59;F1;PI_REVERSE
3;1;63;F1;PI_NORMAL
3;1;64;F1;PI_NORMAL
3;1;65;F1;PI_REVERSE
3;1;66;F1;PI_REVERSE
3;1;67;F1;PI_NORMAL
3;1;68;F1;PI_NORMAL
3;1;69;F1;PI_REVERSE
3;1;70;F1;PI_REVERSE
3;1;74;F1;PI_NORMAL
3;1;75;F1;PI_NORMAL
3;1;76;F1;PI_REVERSE
3;1;77;F1;PI_NORMAL
3;1;78;F1;PI_REVERSE
3;1;79;F1;PI_REVERSE
3;1;83;F1;PI_NORMAL
3;1;84;F1;PI_NORMAL
3;1;85;F1;PI_REVERSE
3;1;86;F1;PI_REVERSE
3;1;87;F1;PI_NORMAL
3;1;88;F1;PI_NORMAL
3;1;89;F1;PI_REVERSE
3;1;90;F1;PI_REVERSE
3;1;94;F1;PI_NORMAL
3;1;95;F1;PI_NORMAL
3;1;96;F1;PI_REVERSE
3;1;97;F1;PI_REVERSE
3;1;98;F1;PI_NORMAL
3;1;102;F2;PI_REVERSE
3;1;103;F1;PI_NORMAL
3;1;104;F1;PI_NORMAL
