MATRICOLA_TRENO;ZONA_COMPETENZA
F300        0301;GLOBALE
F300        0303;GLOBALE
F300        0305;GLOBALE
F300        0308;GLOBALE
F300        0311;GLOBALE
F300        0314;GLOBALE
F350        0352;GLOBALE
F350        0355;GLOBALE
F350        0356;GLOBALE
F350        0360;GLOBALE
SB          0002;GLOBALE
SB          0003;GLOBALE
SB          0004;GLOBALE
SB          0005;GLOBALE
SB          0006;GLOBALE
SB          0007;GLOBALE
SB          0008;GLOBALE
SB          0009;GLOBALE
SB          0010;GLOBALE
SB          0011;GLOBALE
SBT         0005;GLOBALE
SBT         0006;GLOBALE
SBT         0007;GLOBALE
ST          0001;GLOBALE
ST          0002;GLOBALE
ST          0003;GLOBALE
ST          0004;GLOBALE
ST          0005;GLOBALE
ST          0006;GLOBALE
ST          0008;GLOBALE
ST1NS       0007;GLOBALE
SB          0001;GLOBALE
